level;number;name;permalink;tags/0;tags/1;tags/2;tags/3;tags/4;tags/5;tags/6;tags/7;tags/8;tags/9;tags/10;tags/11;content;understanding;conformance;html
3;1.4.10;  Success Criterion 1.4.10 Reflow;https://www.w3.org/TR/2024/REC-WCAG22-20241212/#reflow;-;screen design;;developing site;developing components;video;text;;forms;animations;;audio;"<p>Content can be presented without loss of information or functionality, and without requiring scrolling in two dimensions for:<br/></em>   Vertical scrolling content at a width equivalent to 320 <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-css-pixels"">CSS pixels</a>; <em>   Horizontal scrolling content at a height equivalent to 256 <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-css-pixels"">CSS pixels</a>.<br/>Except for parts of the content which require two-dimensional layout for usage or meaning.<br/>Note 1<br/>320 CSS pixels is equivalent to a starting <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-viewport"">viewport</a> width of 1280 CSS pixels wide at 400% zoom. For web content which is designed to scroll horizontally (e.g., with vertical text), 256 CSS pixels is equivalent to a starting viewport height of 1024 CSS pixels at 400% zoom.<br/>Note 2<br/>Examples of content which requires two-dimensional layout are images required for understanding (such as maps and diagrams), video, games, presentations, data tables (not individual cells), and interfaces where it is necessary to keep toolbars in view while manipulating content. It is acceptable to provide two-dimensional scrolling for such parts of the content.</p>";"<a href=""https://www.w3.org/WAI/WCAG22/Understanding/reflow.html"">Understanding Reflow</a> |   <a href=""https://www.w3.org/WAI/WCAG22/quickref/#reflow"">How to Meet Reflow</a>";AA;"<p>Content can be presented without loss of information or functionality, and without requiring scrolling in two dimensions for:<br/></em>   Vertical scrolling content at a width equivalent to 320 <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-css-pixels"">CSS pixels</a>; <em>   Horizontal scrolling content at a height equivalent to 256 <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-css-pixels"">CSS pixels</a>.<br/>Except for parts of the content which require two-dimensional layout for usage or meaning.<br/>Note 1<br/>320 CSS pixels is equivalent to a starting <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-viewport"">viewport</a> width of 1280 CSS pixels wide at 400% zoom. For web content which is designed to scroll horizontally (e.g., with vertical text), 256 CSS pixels is equivalent to a starting viewport height of 1024 CSS pixels at 400% zoom.<br/>Note 2<br/>Examples of content which requires two-dimensional layout are images required for understanding (such as maps and diagrams), video, games, presentations, data tables (not individual cells), and interfaces where it is necessary to keep toolbars in view while manipulating content. It is acceptable to provide two-dimensional scrolling for such parts of the content.</p>"
3;1.4.11;  Success Criterion 1.4.11 Non-text Contrast;https://www.w3.org/TR/2024/REC-WCAG22-20241212/#non-text-contrast;-;screen design;;developing site;;;;;;;;;"<p>The visual <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-presentation"">presentation</a> of the following have a <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-contrast-ratio"">contrast ratio</a> of at least 3:1 against adjacent color(s):<br/>User Interface Components<br/>Visual information required to identify <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-user-interface-components"">user interface components</a> and <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-states"">states</a>, except for inactive components or where the appearance of the component is determined by the <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-user-agents"">user agent</a> and not modified by the author;<br/>Graphical Objects<br/>Parts of graphics required to understand the content, except when a particular presentation of graphics is <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-essential"">essential</a> to the information being conveyed.</p>";"<a href=""https://www.w3.org/WAI/WCAG22/Understanding/non-text-contrast.html"">Understanding Non-text Contrast</a> |   <a href=""https://www.w3.org/WAI/WCAG22/quickref/#non-text-contrast"">How to Meet Non-text Contrast</a>";AA;"<p>The visual <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-presentation"">presentation</a> of the following have a <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-contrast-ratio"">contrast ratio</a> of at least 3:1 against adjacent color(s):<br/>User Interface Components<br/>Visual information required to identify <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-user-interface-components"">user interface components</a> and <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-states"">states</a>, except for inactive components or where the appearance of the component is determined by the <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-user-agents"">user agent</a> and not modified by the author;<br/>Graphical Objects<br/>Parts of graphics required to understand the content, except when a particular presentation of graphics is <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-essential"">essential</a> to the information being conveyed.</p>"
3;1.4.12;  Success Criterion 1.4.12 Text Spacing;https://www.w3.org/TR/2024/REC-WCAG22-20241212/#text-spacing;-;screen design;;;developing components;-;text;-;-;-;-;-;"<p>In content implemented using markup languages that support the following <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-text"">text</a> <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-style-properties"">style properties</a>, no loss of content or functionality occurs by setting all of the following and by changing no other style property:<br/></em>   Line height (line spacing) to at least 1.5 times the font size; <em>   Spacing following paragraphs to at least 2 times the font size; </em>   Letter spacing (tracking) to at least 0.12 times the font size; <em>   Word spacing to at least 0.16 times the font size.<br/>Exception: <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-human-language-s"">Human languages</a> and scripts that do not make use of one or more of these text style properties in written text can conform using only the properties that exist for that combination of language and script.<br/>Note 1<br/>Content is not required to use these text spacing values. The requirement is to ensure that when a user overrides the authored text spacing, content or functionality is not lost.<br/>Note 2<br/>Writing systems for some languages use different text spacing settings, such as paragraph start indent. Authors are encouraged to follow locally available guidance for improving readability and legibility of text in their writing system.</p>";"<a href=""https://www.w3.org/WAI/WCAG22/Understanding/text-spacing.html"">Understanding Text Spacing</a> |   <a href=""https://www.w3.org/WAI/WCAG22/quickref/#text-spacing"">How to Meet Text Spacing</a>";AA;"<p>In content implemented using markup languages that support the following <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-text"">text</a> <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-style-properties"">style properties</a>, no loss of content or functionality occurs by setting all of the following and by changing no other style property:<br/></em>   Line height (line spacing) to at least 1.5 times the font size; <em>   Spacing following paragraphs to at least 2 times the font size; </em>   Letter spacing (tracking) to at least 0.12 times the font size; <em>   Word spacing to at least 0.16 times the font size.<br/>Exception: <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-human-language-s"">Human languages</a> and scripts that do not make use of one or more of these text style properties in written text can conform using only the properties that exist for that combination of language and script.<br/>Note 1<br/>Content is not required to use these text spacing values. The requirement is to ensure that when a user overrides the authored text spacing, content or functionality is not lost.<br/>Note 2<br/>Writing systems for some languages use different text spacing settings, such as paragraph start indent. Authors are encouraged to follow locally available guidance for improving readability and legibility of text in their writing system.</p>"
3;1.4.13;  Success Criterion 1.4.13 Content on Hover or Focus;https://www.w3.org/TR/2024/REC-WCAG22-20241212/#content-on-hover-or-focus;-;;;developing site;;video;text;-;forms;animations;-;audio;"<p>Where receiving and then removing pointer hover or keyboard focus triggers additional content to become visible and then hidden, the following are true:<br/>Dismissible<br/>A <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-mechanism"">mechanism</a> is available to dismiss the additional content without moving pointer hover or keyboard focus, unless the additional content communicates an <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-input-error"">input error</a> or does not obscure or replace other content;<br/>Hoverable<br/>If pointer hover can trigger the additional content, then the pointer can be moved over the additional content without the additional content disappearing;<br/>Persistent<br/>The additional content remains visible until the hover or focus trigger is removed, the user dismisses it, or its information is no longer valid.<br/>Exception: The visual presentation of the additional content is controlled by the <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-user-agents"">user agent</a> and is not modified by the author.<br/>Note 1<br/>Examples of additional content controlled by the user agent include browser tooltips created through use of the HTML <a href=""https://html.spec.whatwg.org/multipage/dom.html#the-title-attribute""><code>title</code> attribute</a> [<a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#bib-html"">HTML</a>].<br/>Note 2<br/>Custom tooltips, sub-menus, and other nonmodal popups that display on hover and focus are examples of additional content covered by this criterion.<br/>Note 3<br/>This criterion applies to content that appears in addition to the triggering component itself. Since hidden components that are made visible on keyboard focus (such as links used to skip to another part of a page) do not present additional content they are not covered by this criterion.</p>";"<a href=""https://www.w3.org/WAI/WCAG22/Understanding/content-on-hover-or-focus.html"">Understanding Content on Hover or Focus</a> | <a href=""https://www.w3.org/WAI/WCAG22/quickref/#content-on-hover-or-focus"">How to Meet Content on Hover or Focus</a></p>";AA;"<p>Where receiving and then removing pointer hover or keyboard focus triggers additional content to become visible and then hidden, the following are true:<br/>Dismissible<br/>A <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-mechanism"">mechanism</a> is available to dismiss the additional content without moving pointer hover or keyboard focus, unless the additional content communicates an <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-input-error"">input error</a> or does not obscure or replace other content;<br/>Hoverable<br/>If pointer hover can trigger the additional content, then the pointer can be moved over the additional content without the additional content disappearing;<br/>Persistent<br/>The additional content remains visible until the hover or focus trigger is removed, the user dismisses it, or its information is no longer valid.<br/>Exception: The visual presentation of the additional content is controlled by the <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-user-agents"">user agent</a> and is not modified by the author.<br/>Note 1<br/>Examples of additional content controlled by the user agent include browser tooltips created through use of the HTML <a href=""https://html.spec.whatwg.org/multipage/dom.html#the-title-attribute""><code>title</code> attribute</a> [<a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#bib-html"">HTML</a>].<br/>Note 2<br/>Custom tooltips, sub-menus, and other nonmodal popups that display on hover and focus are examples of additional content covered by this criterion.<br/>Note 3<br/>This criterion applies to content that appears in addition to the triggering component itself. Since hidden components that are made visible on keyboard focus (such as links used to skip to another part of a page) do not present additional content they are not covered by this criterion.</p>"
1;2.;  2. Operable;https://www.w3.org/TR/2024/REC-WCAG22-20241212/#operable;conceptual perspective;;;;;;;;;;;;<p>User interface components and navigation must be operable.</p>;<hr>;;<p>User interface components and navigation must be operable.</p>
2;2.1;  Guideline 2.1 Keyboard Accessible;https://www.w3.org/TR/2024/REC-WCAG22-20241212/#keyboard-accessible;conceptual perspective;;;;;;;;;;;;<p>Make all functionality available from a keyboard.</p>;"<p><a href=""https://www.w3.org/WAI/WCAG22/Understanding/keyboard-accessible.html"">Understanding Keyboard Accessible</a> |   <a href=""https://www.w3.org/WAI/WCAG22/quickref/#keyboard-accessible"">How to Meet Keyboard Accessible</a>";;<p>Make all functionality available from a keyboard.</p>
3;2.1.1;  Success Criterion 2.1.1 Keyboard;https://www.w3.org/TR/2024/REC-WCAG22-20241212/#keyboard;-;;;developing site;;video;text;-;forms;animations;-;audio;"<p>All <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-functionality"">functionality</a> of the content is operable through a <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-keyboard-interface"">keyboard interface</a> without requiring specific timings for individual keystrokes, except where the underlying function requires input that depends on the path of the users movement and not just the endpoints.<br/>Note 1<br/>This exception relates to the underlying function, not the input technique. For example, if using handwriting to enter text, the input technique (handwriting) requires path-dependent input but the underlying function (text input) does not.<br/>Note 2<br/>This does not forbid and should not discourage providing mouse input or other input methods in addition to keyboard operation.</p>";"<a href=""https://www.w3.org/WAI/WCAG22/Understanding/keyboard.html"">Understanding Keyboard</a> |   <a href=""https://www.w3.org/WAI/WCAG22/quickref/#keyboard"">How to Meet Keyboard</a>";A;"<p>All <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-functionality"">functionality</a> of the content is operable through a <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-keyboard-interface"">keyboard interface</a> without requiring specific timings for individual keystrokes, except where the underlying function requires input that depends on the path of the users movement and not just the endpoints.<br/>Note 1<br/>This exception relates to the underlying function, not the input technique. For example, if using handwriting to enter text, the input technique (handwriting) requires path-dependent input but the underlying function (text input) does not.<br/>Note 2<br/>This does not forbid and should not discourage providing mouse input or other input methods in addition to keyboard operation.</p>"
3;2.1.2;  Success Criterion 2.1.2 No Keyboard Trap;https://www.w3.org/TR/2024/REC-WCAG22-20241212/#no-keyboard-trap;-;;;developing site;;video;text;-;forms;animations;-;audio;"<p>If keyboard focus can be moved to a component of the page using a <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-keyboard-interface"">keyboard interface</a>, then focus can be moved away from that component using only a keyboard interface, and, if it requires more than unmodified arrow or tab keys or other standard exit methods, the user is advised of the method for moving focus away.<br/>Note<br/>Since any content that does not meet this success criterion can interfere with a users ability to use the whole page, all content on the web page (whether it is used to meet other success criteria or not) must meet this success criterion. See <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#cc5"">Conformance Requirement 5: Non-Interference</a>.</p>";"<a href=""https://www.w3.org/WAI/WCAG22/Understanding/no-keyboard-trap.html"">Understanding No Keyboard Trap</a> |   <a href=""https://www.w3.org/WAI/WCAG22/quickref/#no-keyboard-trap"">How to Meet No Keyboard Trap</a>";A;"<p>If keyboard focus can be moved to a component of the page using a <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-keyboard-interface"">keyboard interface</a>, then focus can be moved away from that component using only a keyboard interface, and, if it requires more than unmodified arrow or tab keys or other standard exit methods, the user is advised of the method for moving focus away.<br/>Note<br/>Since any content that does not meet this success criterion can interfere with a users ability to use the whole page, all content on the web page (whether it is used to meet other success criteria or not) must meet this success criterion. See <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#cc5"">Conformance Requirement 5: Non-Interference</a>.</p>"
3;2.1.3;  Success Criterion 2.1.3 Keyboard (No Exception);https://www.w3.org/TR/2024/REC-WCAG22-20241212/#keyboard-no-exception;-;;;developing site;;video;text;-;forms;animations;-;audio;"<p>All <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-functionality"">functionality</a> of the content is operable through a <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-keyboard-interface"">keyboard interface</a> without requiring specific timings for individual keystrokes.</p>";"<a href=""https://www.w3.org/WAI/WCAG22/Understanding/keyboard-no-exception.html"">Understanding Keyboard (No Exception)</a> |   <a href=""https://www.w3.org/WAI/WCAG22/quickref/#keyboard-no-exception"">How to Meet Keyboard (No Exception)</a>";AAA;"<p>All <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-functionality"">functionality</a> of the content is operable through a <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-keyboard-interface"">keyboard interface</a> without requiring specific timings for individual keystrokes.</p>"
3;2.1.4;  Success Criterion 2.1.4 Character Key Shortcuts;https://www.w3.org/TR/2024/REC-WCAG22-20241212/#character-key-shortcuts;-;;;developing site;;video;text;-;forms;animations;-;audio;"<p>If a <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-keyboard-shortcuts"">keyboard shortcut</a> is implemented in content using only letter (including upper- and lower-case letters), punctuation, number, or symbol characters, then at least one of the following is true:<br/>Turn off<br/>A <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-mechanism"">mechanism</a> is available to turn the shortcut off;<br/>Remap<br/>A mechanism is available to remap the shortcut to include one or more non-printable keyboard keys (e.g., Ctrl, Alt);<br/>Active only on focus<br/>The keyboard shortcut for a <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-user-interface-components"">user interface component</a> is only active when that component has focus.</p>";"<a href=""https://www.w3.org/WAI/WCAG22/Understanding/character-key-shortcuts.html"">Understanding Character Key Shortcuts</a> |   <a href=""https://www.w3.org/WAI/WCAG22/quickref/#character-key-shortcuts"">How to Meet Character Key Shortcuts</a>";A;"<p>If a <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-keyboard-shortcuts"">keyboard shortcut</a> is implemented in content using only letter (including upper- and lower-case letters), punctuation, number, or symbol characters, then at least one of the following is true:<br/>Turn off<br/>A <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-mechanism"">mechanism</a> is available to turn the shortcut off;<br/>Remap<br/>A mechanism is available to remap the shortcut to include one or more non-printable keyboard keys (e.g., Ctrl, Alt);<br/>Active only on focus<br/>The keyboard shortcut for a <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-user-interface-components"">user interface component</a> is only active when that component has focus.</p>"
2;2.2;  Guideline 2.2 Enough Time;https://www.w3.org/TR/2024/REC-WCAG22-20241212/#enough-time;conceptual perspective;;;developing site;;video;text;-;forms;animations;-;audio;<p>Provide users enough time to read and use content.</p>;"<a href=""https://www.w3.org/WAI/WCAG22/Understanding/enough-time.html"">Understanding Enough Time</a> |   <a href=""https://www.w3.org/WAI/WCAG22/quickref/#enough-time"">How to Meet Enough Time</a>";;<p>Provide users enough time to read and use content.</p>
3;2.2.1;  Success Criterion 2.2.1 Timing Adjustable;https://www.w3.org/TR/2024/REC-WCAG22-20241212/#timing-adjustable;-;;;developing site;;video;text;-;forms;animations;-;audio;"<p>For each time limit that is set by the content, at least one of the following is true:<br/>Turn off<br/>The user is allowed to turn off the time limit before encountering it; or<br/>Adjust<br/>The user is allowed to adjust the time limit before encountering it over a wide range that is at least ten times the length of the default setting; or<br/>Extend<br/>The user is warned before time expires and given at least 20 seconds to extend the time limit with a simple action (for example, ‘press the space bar‘), and the user is allowed to extend the time limit at least ten times; or<br/>Real-time Exception<br/>The time limit is a required part of a <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-real-time-events"">real-time event</a> (for example, an auction), and no alternative to the time limit is possible; or<br/>Essential Exception<br/>The time limit is <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-essential"">essential</a> and extending it would invalidate the activity; or<br/>20 Hour Exception<br/>The time limit is longer than 20 hours.<br/>Note<br/>This success criterion helps ensure that users can complete tasks without unexpected changes in content or context that are a result of a time limit. This success criterion should be considered in conjunction with <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#on-focus"">Success Criterion 3.2.1</a>, which puts limits on changes of content or context as a result of user action.</p>";"<a href=""https://www.w3.org/WAI/WCAG22/Understanding/timing-adjustable.html"">Understanding Timing Adjustable</a> |   <a href=""https://www.w3.org/WAI/WCAG22/quickref/#timing-adjustable"">How to Meet Timing Adjustable</a>";A;"<p>For each time limit that is set by the content, at least one of the following is true:<br/>Turn off<br/>The user is allowed to turn off the time limit before encountering it; or<br/>Adjust<br/>The user is allowed to adjust the time limit before encountering it over a wide range that is at least ten times the length of the default setting; or<br/>Extend<br/>The user is warned before time expires and given at least 20 seconds to extend the time limit with a simple action (for example, ‘press the space bar‘), and the user is allowed to extend the time limit at least ten times; or<br/>Real-time Exception<br/>The time limit is a required part of a <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-real-time-events"">real-time event</a> (for example, an auction), and no alternative to the time limit is possible; or<br/>Essential Exception<br/>The time limit is <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-essential"">essential</a> and extending it would invalidate the activity; or<br/>20 Hour Exception<br/>The time limit is longer than 20 hours.<br/>Note<br/>This success criterion helps ensure that users can complete tasks without unexpected changes in content or context that are a result of a time limit. This success criterion should be considered in conjunction with <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#on-focus"">Success Criterion 3.2.1</a>, which puts limits on changes of content or context as a result of user action.</p>"
3;2.2.2;  Success Criterion 2.2.2 Pause, Stop, Hide;https://www.w3.org/TR/2024/REC-WCAG22-20241212/#pause-stop-hide;-;;;developing site;;;;;;;;;"<p>For moving, <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-blinking"">blinking</a>, scrolling, or auto-updating information, all of the following are true:<br/>Moving, blinking, scrolling<br/>For any moving, blinking or scrolling information that (1) starts automatically, (2) lasts more than five seconds, and (3) is presented in parallel with other content, there is a <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-mechanism"">mechanism</a> for the user to <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-pause"">pause</a>, stop, or hide it unless the movement, blinking, or scrolling is part of an activity where it is <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-essential"">essential</a>; and<br/>Auto-updating<br/>For any auto-updating information that (1) starts automatically and (2) is presented in parallel with other content, there is a mechanism for the user to pause, stop, or hide it or to control the frequency of the update unless the auto-updating is part of an activity where it is essential.<br/>Note 1<br/>For requirements related to flickering or flashing content, refer to <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#seizures-and-physical-reactions"">Guideline 2.3</a>.<br/>Note 2<br/>Since any content that does not meet this success criterion can interfere with a users ability to use the whole page, all content on the web page (whether it is used to meet other success criteria or not) must meet this success criterion. See <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#cc5"">Conformance Requirement 5: Non-Interference</a>.<br/>Note 3<br/>Content that is updated periodically by software or that is streamed to the user agent is not required to preserve or present information that is generated or received between the initiation of the pause and resuming presentation, as this may not be technically possible, and in many situations could be misleading to do so.<br/>Note 4<br/>An animation that occurs as part of a preload phase or similar situation can be considered essential if interaction cannot occur during that phase for all users and if not indicating progress could confuse users or cause them to think that content was frozen or broken.</p>";"<a href=""https://www.w3.org/WAI/WCAG22/Understanding/pause-stop-hide.html"">Understanding Pause, Stop, Hide</a> |   <a href=""https://www.w3.org/WAI/WCAG22/quickref/#pause-stop-hide"">How to Meet Pause, Stop, Hide</a>";A;"<p>For moving, <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-blinking"">blinking</a>, scrolling, or auto-updating information, all of the following are true:<br/>Moving, blinking, scrolling<br/>For any moving, blinking or scrolling information that (1) starts automatically, (2) lasts more than five seconds, and (3) is presented in parallel with other content, there is a <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-mechanism"">mechanism</a> for the user to <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-pause"">pause</a>, stop, or hide it unless the movement, blinking, or scrolling is part of an activity where it is <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-essential"">essential</a>; and<br/>Auto-updating<br/>For any auto-updating information that (1) starts automatically and (2) is presented in parallel with other content, there is a mechanism for the user to pause, stop, or hide it or to control the frequency of the update unless the auto-updating is part of an activity where it is essential.<br/>Note 1<br/>For requirements related to flickering or flashing content, refer to <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#seizures-and-physical-reactions"">Guideline 2.3</a>.<br/>Note 2<br/>Since any content that does not meet this success criterion can interfere with a users ability to use the whole page, all content on the web page (whether it is used to meet other success criteria or not) must meet this success criterion. See <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#cc5"">Conformance Requirement 5: Non-Interference</a>.<br/>Note 3<br/>Content that is updated periodically by software or that is streamed to the user agent is not required to preserve or present information that is generated or received between the initiation of the pause and resuming presentation, as this may not be technically possible, and in many situations could be misleading to do so.<br/>Note 4<br/>An animation that occurs as part of a preload phase or similar situation can be considered essential if interaction cannot occur during that phase for all users and if not indicating progress could confuse users or cause them to think that content was frozen or broken.</p>"
3;2.2.3;  Success Criterion 2.2.3 No Timing;https://www.w3.org/TR/2024/REC-WCAG22-20241212/#no-timing;-;;;developing site;;-;text;dynamic;forms;animations;gestures;-;"<p>Timing is not an <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-essential"">essential</a> part of the event or activity presented by the content, except for non-interactive <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-synchronized-media"">synchronized media</a> and <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-real-time-events"">real-time events</a>.</p>";"<a href=""https://www.w3.org/WAI/WCAG22/Understanding/no-timing.html"">Understanding No Timing</a> |   <a href=""https://www.w3.org/WAI/WCAG22/quickref/#no-timing"">How to Meet No Timing</a>";AAA;"<p>Timing is not an <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-essential"">essential</a> part of the event or activity presented by the content, except for non-interactive <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-synchronized-media"">synchronized media</a> and <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-real-time-events"">real-time events</a>.</p>"
3;2.2.4;  Success Criterion 2.2.4 Interruptions;https://www.w3.org/TR/2024/REC-WCAG22-20241212/#interruptions;-;;;developing site;;video;-;-;-;animations;-;audio;"<p>Interruptions can be postponed or suppressed by the user, except interruptions involving an <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-emergency"">emergency</a>.</p>";"<a href=""https://www.w3.org/WAI/WCAG22/Understanding/interruptions.html"">Understanding Interruptions</a> |   <a href=""https://www.w3.org/WAI/WCAG22/quickref/#interruptions"">How to Meet Interruptions</a>";AAA;"<p>Interruptions can be postponed or suppressed by the user, except interruptions involving an <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-emergency"">emergency</a>.</p>"
3;2.2.5;  Success Criterion 2.2.5 Re-authenticating;https://www.w3.org/TR/2024/REC-WCAG22-20241212/#re-authenticating;-;;;developing site;;video;text;dynamic;forms;animations;gestures;audio;<p>When an authenticated session expires, the user can continue the activity without loss of data after re-authenticating.</p>;"<a href=""https://www.w3.org/WAI/WCAG22/Understanding/re-authenticating.html"">Understanding Re-authenticating</a> |   <a href=""https://www.w3.org/WAI/WCAG22/quickref/#re-authenticating"">How to Meet Re-authenticating</a>";AAA;<p>When an authenticated session expires, the user can continue the activity without loss of data after re-authenticating.</p>
3;2.2.6;  Success Criterion 2.2.6 Timeouts;https://www.w3.org/TR/2024/REC-WCAG22-20241212/#timeouts;-;;;developing site;;;;;;;;;"<p>Users are warned of the duration of any <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-user-inactivity"">user inactivity</a> that could cause data loss, unless the data is preserved for more than 20 hours when the user does not take any actions.<br/>Note<br/>Privacy regulations may require explicit user consent before user identification has been authenticated and before user data is preserved. In cases where the user is a minor, explicit consent may not be solicited in most jurisdictions, countries or regions. Consultation with privacy professionals and legal counsel is advised when considering data preservation as an approach to satisfy this success criterion.</p>";"<a href=""https://www.w3.org/WAI/WCAG22/Understanding/timeouts.html"">Understanding Timeouts</a> |   <a href=""https://www.w3.org/WAI/WCAG22/quickref/#timeouts"">How to Meet Timeouts</a>";AAA;"<p>Users are warned of the duration of any <a href=""https://www.w3.org/TR/2024/REC-WCAG22-20241212/#dfn-user-inactivity"">user inactivity</a> that could cause data loss, unless the data is preserved for more than 20 hours when the user does not take any actions.<br/>Note<br/>Privacy regulations may require explicit user consent before user identification has been authenticated and before user data is preserved. In cases where the user is a minor, explicit consent may not be solicited in most jurisdictions, countries or regions. Consultation with privacy professionals and legal counsel is advised when considering data preservation as an approach to satisfy this success criterion.</p>"
